Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
60,1,Travel_Rarely,310,Research & Development,7,2,Technical Degree,1,2032,4,Male,72,3,1,Laboratory Technician,3,Married,3157.65,3666,8,Y,No,11,3,4,80,1,14.0,4,1,10,9,9,8
45,0,Travel_Rarely,582,Research & Development,28,4,Life Sciences,1,2034,1,Female,60,2,4,Manufacturing Director,2,Married,18319.5,5640,0,Y,No,23,4,3,80,1,21.0,3,3,20,7,0,10
38,0,Travel_Rarely,704,Sales,28,3,Marketing,1,2035,4,Female,95,2,2,Sales Executive,3,Married,9061.2,8978,1,Y,No,21,4,4,80,2,8.0,2,3,8,7,1,7
40,0,Non-Travel,301,Sales,15,4,Marketing,1,2036,4,Male,88,1,2,Sales Executive,4,Divorced,7298.1,10436,1,Y,No,24,4,1,80,1,15.0,4,2,15,12,11,11
45,0,Travel_Rarely,930,Sales,3,3,Life Sciences,1,2037,3,Male,57,2,2,Sales Executive,2,Divorced,12066.300000000001,12227,2,Y,No,11,3,3,80,1,14.0,5,3,5,4,0,4
36,0,Travel_Rarely,529,Research & Development,2,3,Technical Degree,1,2038,4,Male,78,3,1,Research Scientist,1,Single,3292.65,11288,1,Y,No,14,3,4,80,0,4.0,4,3,4,2,1,2
39,0,Travel_Rarely,1146,Human Resources,26,4,Life Sciences,1,2040,3,Female,31,3,3,Human Resources,4,Single,11929.95,16642,1,Y,Yes,16,3,3,80,0,9.0,2,3,9,0,1,7
42,0,Travel_Rarely,345,Sales,10,2,Life Sciences,1,2041,1,Female,100,3,2,Sales Executive,4,Married,7213.05,5982,1,Y,No,11,3,3,80,1,10.0,1,3,10,7,1,9
54,1,Travel_Frequently,878,Sales,1,4,Life Sciences,1,2044,2,Male,94,3,2,Sales Executive,3,Divorced,9082.800000000001,14255,7,Y,No,12,3,4,80,2,12.0,3,3,6,3,0,1
40,0,Travel_Rarely,1120,Sales,11,4,Marketing,1,2045,2,Female,100,2,2,Sales Executive,4,Married,8980.2,14369,4,Y,No,13,3,1,80,1,8.0,2,2,6,3,0,0
49,0,Travel_Rarely,374,Sales,20,3,Life Sciences,1,2046,4,Female,50,3,2,Sales Executive,3,Single,6547.5,23333,8,Y,No,15,3,3,80,0,,3,3,5,3,0,1
44,0,Travel_Rarely,1322,Research & Development,2,4,Life Sciences,1,2048,3,Male,52,2,1,Research Scientist,3,Single,3792.15,2725,2,Y,No,14,3,4,80,0,8.0,2,3,2,2,2,2
39,0,Travel_Frequently,1199,Research & Development,18,4,Life Sciences,1,2049,3,Male,80,3,2,Healthcare Representative,3,Married,7680.150000000001,24594,1,Y,Yes,14,3,4,80,2,10.0,2,4,10,2,0,2
44,0,Travel_Rarely,1194,Research & Development,2,4,Medical,1,2051,3,Female,98,3,1,Research Scientist,3,Married,2701.3500000000004,12549,2,Y,No,14,3,2,80,3,20.0,2,3,5,3,0,2
39,0,Travel_Rarely,287,Research & Development,1,4,Life Sciences,1,2052,3,Female,62,1,1,Research Scientist,4,Married,4018.9500000000003,8952,1,Y,No,12,3,4,80,1,4.0,5,3,4,3,1,1
33,0,Travel_Rarely,1378,Research & Development,13,2,Other,1,2053,4,Male,46,2,2,Laboratory Technician,2,Married,5433.75,23679,4,Y,Yes,13,3,1,80,1,10.0,2,3,4,3,0,3
33,0,Travel_Rarely,468,Research & Development,28,4,Medical,1,2054,4,Female,73,2,1,Research Scientist,1,Single,5109.75,8489,1,Y,No,14,3,2,80,0,5.0,3,1,5,4,0,4
54,1,Travel_Rarely,410,Sales,28,3,Marketing,1,2055,4,Male,39,2,3,Sales Executive,1,Divorced,14652.900000000001,16586,4,Y,Yes,13,3,2,80,1,20.0,3,3,3,2,2,0
43,0,Travel_Rarely,722,Sales,24,1,Marketing,1,2056,2,Female,60,2,4,Sales Executive,4,Married,16241.85,8828,0,Y,No,11,3,1,80,1,21.0,2,2,20,9,9,6
35,0,Non-Travel,325,Research & Development,5,3,Medical,1,2057,2,Male,74,3,2,Manufacturing Director,1,Single,13413.6,3787,0,Y,No,19,3,2,80,0,10.0,2,3,9,4,1,7
30,0,Travel_Rarely,1167,Sales,5,3,Other,1,2060,4,Female,30,2,1,Sales Representative,3,Single,4004.1000000000004,21378,0,Y,No,18,3,4,80,0,5.0,2,3,4,2,0,0
40,0,Travel_Frequently,884,Research & Development,23,2,Medical,1,2061,3,Male,41,4,2,Laboratory Technician,4,Married,3470.8500000000004,12290,4,Y,No,17,3,3,80,1,,3,3,5,2,0,3
43,0,Travel_Rarely,613,Research & Development,6,1,Medical,1,2062,4,Male,42,2,3,Healthcare Representative,1,Married,13487.85,21457,4,Y,No,15,3,1,80,1,9.0,5,3,7,7,1,7
31,0,Travel_Rarely,155,Research & Development,4,3,Life Sciences,1,2064,2,Male,87,4,2,Manufacturing Director,2,Married,8291.7,5174,1,Y,Yes,20,4,2,80,1,6.0,0,3,6,2,0,3
53,0,Travel_Frequently,1023,Sales,2,3,Medical,1,2065,4,Male,63,2,2,Sales Executive,2,Married,7276.500000000001,13243,2,Y,No,14,3,4,80,0,17.0,3,2,9,6,0,8
38,0,,628,Research & Development,8,3,Medical,1,2068,2,Male,82,4,2,Laboratory Technician,3,Married,5945.400000000001,10228,2,Y,No,12,3,1,80,0,6.0,3,4,4,3,1,2
